project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Fitness Tracking and Recommendation App,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,3.53,1,5,6965855,2.76,2,E-commerce,Disruptive,MVP,PhD,4999,10,5,17.55,Low
Autonomous Delivery Drone System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,2.73,10,6,9798779,5.48,9,E-commerce,Incremental,Prototype,PhD,3347,92,9,34.74,Low
AI Resume Screening Tool,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,4.35,1,4,3495627,16.49,9,AgriTech,Disruptive,Prototype,PG,4848,17,4,17.14,Low
Smart Waste Management Solution,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,3.66,3,1,4030011,18.98,10,AgriTech,Incremental,Prototype,PG,769,90,4,18.8,Low
Personalized Nutrition Recommendation System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,1,0.89,8,7,4233191,22.4,6,AgriTech,Disruptive,Idea,UG,574,29,3,18.56,Low
Online Event Management Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,0.26,4,3,9062229,24.14,7,AgriTech,Incremental,MVP,PhD,2349,44,4,19.81,Low
Autonomous Delivery Drone System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,1.11,9,5,634559,7.74,4,AI,Incremental,Prototype,PG,111,87,7,28.49,Low
Digital Marketplace for Local Businesses,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",5,4.03,10,8,4976637,4.12,7,AgriTech,Disruptive,Idea,UG,4822,58,2,13.38,Low
Cloud-Based Business Intelligence Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,3.86,10,7,6116973,2.5,7,AI,Disruptive,Prototype,PhD,4292,65,2,12.9,Low
Smart Healthcare Monitoring Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,0.86,8,10,4720032,22.17,9,EdTech,Incremental,MVP,UG,4670,40,3,19.63,Low
Online Event Management Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,0.15,6,9,3747918,23.38,10,AgriTech,Incremental,Prototype,PhD,1715,79,2,16.76,Low
Smart Waste Management Solution,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,2.04,6,8,6234984,22.77,9,FinTech,Disruptive,MVP,UG,449,32,1,12.39,Low
Online Event Management Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,0.41,7,2,9767588,15.74,4,EdTech,Disruptive,Idea,UG,4751,67,1,10.19,Low
Virtual Reality Learning Environment,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,2.34,9,7,9545930,20.08,1,EdTech,Disruptive,MVP,PG,3792,52,10,39.86,Low
AI Chatbot for Customer Service,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,1.08,4,7,7241021,17.96,7,E-commerce,Disruptive,MVP,PG,160,33,4,19.55,Low
Personalized Nutrition Recommendation System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,4,2.21,10,2,8805610,16.87,3,FinTech,Incremental,Idea,UG,1176,55,9,35.07,Low
Blockchain-Powered Digital Payments,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,1.2,3,4,5112083,14.02,7,FinTech,Incremental,Prototype,PhD,2788,13,10,35.16,Low
AI-Based Crop Monitoring System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,3.78,4,6,4100798,10.75,5,AgriTech,Incremental,Idea,UG,1403,48,10,36.11,Low
Fitness Tracking and Recommendation App,An AI-based fraud detection system that identifies suspicious financial activities in real time.,2,4.95,5,7,47117,20.58,7,E-commerce,Disruptive,MVP,PhD,3459,94,10,39.6,Low
Personalized Nutrition Recommendation System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,1.62,8,7,1871591,12.95,9,FinTech,Disruptive,MVP,PhD,4816,32,8,31.73,Low
Virtual Reality Learning Environment,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,1.94,5,4,9811817,10.4,10,EdTech,Incremental,Idea,UG,1389,26,6,23.3,Low
AI Resume Screening Tool,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,0.64,1,5,5901709,23.12,7,EdTech,Incremental,Idea,UG,2746,77,8,31.96,Low
Fitness Tracking and Recommendation App,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,0.78,3,5,845489,21.12,6,E-commerce,Incremental,Prototype,PhD,2436,10,4,18.82,Low
Automated Financial Advisory System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,2.56,2,5,2140586,7.74,4,EdTech,Disruptive,Prototype,UG,2234,64,5,19.93,Low
Fitness Tracking and Recommendation App,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,4.39,8,1,7736409,6.15,2,EdTech,Incremental,Idea,UG,2654,63,9,32.19,Low
AI-Powered Fraud Detection System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,4,4.21,1,2,9586645,0.71,4,AgriTech,Incremental,Prototype,PhD,4764,85,9,29.74,Low
Online Mental Health Support Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,0.71,8,4,7259671,10.04,7,FinTech,Disruptive,Idea,PG,3016,7,4,17.75,Low
AI-Based Crop Monitoring System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,5,3.42,2,6,4604927,0.78,6,E-commerce,Disruptive,Prototype,PG,1343,50,6,21.56,Low
Smart Waste Management Solution,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,2.7,4,7,1289938,6.06,10,E-commerce,Disruptive,Idea,PG,376,98,4,18.47,Low
Virtual Reality Learning Environment,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,3.96,1,6,3573069,22.15,2,AI,Disruptive,Idea,PhD,2095,9,1,9.71,Low
Smart Healthcare Monitoring Platform,"An event management platform that automates planning, scheduling, and coordination of events.",3,1.03,7,10,6579089,1.77,8,EdTech,Disruptive,MVP,PG,2897,16,5,20.77,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",5,1.48,6,3,7477870,11.2,3,FinTech,Disruptive,Prototype,UG,4721,31,1,8.56,Low
Fitness Tracking and Recommendation App,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,0.15,5,6,2480319,7.31,3,E-commerce,Disruptive,Prototype,PhD,2589,96,7,27.68,Low
Digital Marketplace for Local Businesses,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,0.98,5,7,2825839,19.81,3,HealthTech,Disruptive,MVP,UG,3999,43,4,20.42,Low
Fitness Tracking and Recommendation App,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,1,4.92,9,10,1815166,16.02,3,AgriTech,Incremental,MVP,UG,701,10,4,21.1,Low
Smart Waste Management Solution,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,2.55,1,4,7315626,14.11,10,AI,Disruptive,Idea,PG,4053,69,3,14.7,Low
Virtual Reality Learning Environment,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,0.63,3,3,2325632,10.71,3,E-commerce,Disruptive,Prototype,UG,209,7,1,7.08,Low
Personalized Nutrition Recommendation System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,2.32,6,3,3394754,11.92,7,FinTech,Incremental,MVP,PG,4363,88,2,12.84,Low
Autonomous Delivery Drone System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,1,3.36,6,10,1303520,15.64,7,HealthTech,Incremental,MVP,PG,3453,50,8,32.93,Low
E-Learning Personalization Engine,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,4.04,3,1,5926645,6.11,5,AgriTech,Disruptive,Idea,UG,2281,35,2,9.12,Low
Automated Financial Advisory System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,0.93,9,10,6512160,18.57,5,EdTech,Disruptive,Prototype,PG,4625,60,2,16.61,Low
IoT Smart Home Automation Solution,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,1,0.56,2,3,954545,18.97,1,AI,Incremental,Idea,PG,4436,42,1,9.13,Low
Digital Marketplace for Local Businesses,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,3.87,4,7,288429,20.5,9,AI,Incremental,Idea,PhD,2737,45,10,38.3,Low
Online Mental Health Support Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,3,2.12,4,6,3137813,20.59,1,FinTech,Disruptive,Prototype,UG,2962,88,2,14.88,Low
Automated Financial Advisory System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,1.13,5,3,9866692,5.17,2,HealthTech,Incremental,MVP,UG,184,10,2,9.63,Low
AI-Powered Fraud Detection System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,0.57,10,1,9576177,21.31,5,EdTech,Incremental,MVP,PhD,393,12,2,13.8,Low
E-Learning Personalization Engine,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,0.88,1,3,268116,3.91,1,EdTech,Incremental,Idea,PhD,583,17,9,29.32,Low
E-Learning Personalization Engine,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,2.15,5,7,5631510,1.82,6,FinTech,Incremental,MVP,PG,282,8,9,31.12,Low
AI-Powered Fraud Detection System,"An event management platform that automates planning, scheduling, and coordination of events.",4,0.07,7,2,7013377,14.59,2,AgriTech,Incremental,Idea,PhD,4896,7,3,14.76,Low
Smart Traffic Management System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,1.16,4,6,5536771,13.84,6,HealthTech,Incremental,Idea,PG,37,56,8,30.89,Low
Digital Marketplace for Local Businesses,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,1,3.32,3,10,269966,12.83,1,HealthTech,Disruptive,Prototype,PG,4999,4,5,21.55,Low
Online Event Management Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,2.59,5,10,8394640,17.57,1,EdTech,Disruptive,Prototype,PhD,3190,52,9,36.05,Low
Digital Marketplace for Local Businesses,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,2.97,10,6,2399580,7.78,8,E-commerce,Incremental,Idea,PhD,2212,31,5,21.98,Low
Digital Marketplace for Local Businesses,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,3.4,8,8,6655340,16.47,5,HealthTech,Disruptive,Prototype,PG,1104,87,9,36.83,Low
AI-Powered Fraud Detection System,"An event management platform that automates planning, scheduling, and coordination of events.",2,4.47,3,4,5119661,15.53,3,E-commerce,Disruptive,Idea,PG,2802,56,9,33.33,Low
Autonomous Delivery Drone System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,2.21,2,10,8994537,2.54,9,E-commerce,Incremental,Idea,PG,2749,79,9,32.69,Low
AI Chatbot for Customer Service,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,0.98,8,3,1322784,12.14,8,HealthTech,Disruptive,Idea,PG,2768,89,9,34.51,Low
Smart Healthcare Monitoring Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,1.15,3,4,9741956,5.3,4,AI,Incremental,MVP,PhD,4941,46,6,22.08,Low
Online Event Management Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,1.67,8,4,5465945,23.4,9,AgriTech,Disruptive,MVP,PhD,1896,4,8,32.36,Low
Automated Financial Advisory System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,0.41,7,1,5582466,24.25,9,E-commerce,Disruptive,Prototype,UG,64,65,7,29.55,Low
Sustainable Agriculture Analytics Tool,"An event management platform that automates planning, scheduling, and coordination of events.",5,2.68,1,6,8797933,14.29,4,AI,Incremental,MVP,PG,1238,55,9,33.06,Low
AI-Powered Fraud Detection System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,3.16,10,3,9058438,18.51,1,AI,Disruptive,MVP,PG,1840,72,6,27.04,Low
Virtual Reality Learning Environment,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,0.84,9,5,466435,1.02,6,FinTech,Incremental,Idea,PhD,3597,33,7,26.06,Low
AI Chatbot for Customer Service,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,3.36,7,3,4912785,24.75,4,E-commerce,Incremental,MVP,PhD,1523,92,7,30.79,Low
Cloud-Based Business Intelligence Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,3.83,10,6,3331453,0.29,10,EdTech,Disruptive,MVP,PG,633,96,10,36.78,Low
IoT Smart Home Automation Solution,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,1.28,10,1,130026,14.98,3,EdTech,Disruptive,Idea,PG,3927,69,8,31.68,Low
Digital Marketplace for Local Businesses,"An event management platform that automates planning, scheduling, and coordination of events.",3,2.95,6,2,8892074,12.63,9,EdTech,Incremental,Prototype,PG,1859,5,5,20.03,Low
Online Event Management Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,2,3.07,10,7,7447101,7.85,5,EdTech,Incremental,MVP,UG,388,67,7,29.01,Low
AI-Powered Fraud Detection System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,2.3,7,2,8666408,24.15,5,AI,Incremental,Prototype,PG,4373,72,7,29.97,Low
Online Mental Health Support Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,1.36,3,7,8205665,16.37,7,AI,Incremental,Prototype,PG,2144,52,2,13.31,Low
Cloud-Based Business Intelligence Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,6,4.78,7,3,469099,20.77,8,E-commerce,Incremental,MVP,PG,3814,98,7,30.11,Low
Online Event Management Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,0.75,9,8,9102054,8.53,1,EdTech,Disruptive,MVP,PhD,1278,59,2,13.99,Low
AI Resume Screening Tool,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,1,0.78,5,9,4314395,4.85,7,AgriTech,Incremental,Idea,PhD,4234,97,3,16.11,Low
Digital Marketplace for Local Businesses,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,2.74,2,7,2640174,5.29,3,EdTech,Incremental,Idea,PG,4005,32,10,34.4,Low
Autonomous Delivery Drone System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,2.39,10,9,8624291,15.83,9,HealthTech,Disruptive,Idea,PG,1735,15,2,15.17,Low
Online Event Management Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,1.78,8,5,7834132,9.92,5,AI,Disruptive,Prototype,PhD,2499,48,9,33.84,Low
Fitness Tracking and Recommendation App,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,0.32,3,6,1923894,18.7,9,AgriTech,Disruptive,MVP,PG,2446,6,2,12.56,Low
IoT Smart Home Automation Solution,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,0.08,1,4,6388131,17.05,1,AI,Incremental,Prototype,PhD,3289,51,1,8.93,Low
AI-Powered Fraud Detection System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,3.69,9,7,3199948,14.64,8,E-commerce,Incremental,MVP,UG,2500,14,2,14.01,Low
AI-Powered Fraud Detection System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,2.66,7,1,6309633,24.97,3,EdTech,Incremental,MVP,PG,2802,42,5,23.23,Low
E-Learning Personalization Engine,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,3,4.86,5,4,5165758,6.75,2,AgriTech,Incremental,Idea,PG,1008,51,2,11.07,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,3.9,9,5,8647400,16.64,6,EdTech,Incremental,Idea,PG,3081,37,1,11.27,Low
Cloud-Based Business Intelligence Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,2,4.29,8,8,5415126,1.23,4,FinTech,Disruptive,Prototype,UG,3800,47,4,17.99,Low
Autonomous Delivery Drone System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,1.66,2,6,3522385,3.23,4,AI,Disruptive,Idea,PG,4876,81,9,31.67,Low
Cloud-Based Business Intelligence Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,2.88,5,7,7647431,7.71,2,HealthTech,Disruptive,Idea,UG,4942,38,6,23.9,Low
Automated Financial Advisory System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,4.08,4,4,200701,7.22,5,EdTech,Incremental,Prototype,PG,1442,71,6,23.26,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.09,3,7,2369203,18.92,7,AI,Disruptive,Prototype,PG,4760,94,2,14.66,Low
Fitness Tracking and Recommendation App,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,3.41,4,1,7249976,10.77,6,HealthTech,Incremental,MVP,PhD,3775,72,2,11.09,Low
AI-Powered Fraud Detection System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,6,1.92,2,4,3463203,18.47,8,E-commerce,Disruptive,Idea,PhD,2973,55,2,12.59,Low
AI Chatbot for Customer Service,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,4.2,5,2,2612807,5.18,2,AI,Disruptive,Prototype,UG,737,56,7,25.26,Low
Virtual Reality Learning Environment,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,4.96,4,9,4377757,19.14,7,AI,Incremental,MVP,PG,1135,69,2,15.11,Low
Sustainable Agriculture Analytics Tool,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,4.69,6,3,3818681,8.03,5,HealthTech,Incremental,MVP,PhD,2296,53,7,26.37,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,2.16,5,2,5676900,10.63,4,E-commerce,Incremental,MVP,PhD,4021,61,3,14.45,Low
Blockchain-Powered Digital Payments,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,3,2.02,2,7,5179501,8.11,7,AI,Incremental,MVP,PhD,4456,68,5,20.68,Low
AI Resume Screening Tool,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,1.67,4,5,8481212,16.54,4,AI,Incremental,Idea,PhD,4691,45,7,27.91,Low
Automated Financial Advisory System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,2.13,6,6,4657193,2.52,5,EdTech,Disruptive,Idea,UG,1560,13,8,28.36,Low
Smart Waste Management Solution,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,3.67,9,5,1481602,2.87,4,EdTech,Disruptive,Prototype,PhD,4046,26,6,23.29,Low
Smart Healthcare Monitoring Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,3.41,9,3,5411377,9.56,7,EdTech,Disruptive,Prototype,UG,832,3,3,14.57,Low
Digital Marketplace for Local Businesses,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,3.33,10,6,4014804,22.52,6,AI,Disruptive,Prototype,PG,1466,8,8,33.46,Low
Blockchain-Powered Digital Payments,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,2.52,9,8,4847650,2.39,3,EdTech,Incremental,Prototype,UG,1956,9,4,17.76,Low
IoT Smart Home Automation Solution,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,1.08,5,8,3410205,19.13,8,EdTech,Incremental,Prototype,PG,1292,43,8,32.59,Low
IoT Smart Home Automation Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,3.19,10,2,4745993,12.38,7,AI,Disruptive,Idea,UG,4207,48,7,28.04,Low
Smart Healthcare Monitoring Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,4,3.25,3,3,8643829,9.63,4,AgriTech,Incremental,Prototype,UG,2089,9,8,27.91,Low
Digital Marketplace for Local Businesses,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,3.02,1,4,2044730,4.35,8,FinTech,Disruptive,Idea,UG,3579,10,1,5.57,Low
AI Resume Screening Tool,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,2.61,1,4,9549604,3.89,9,AI,Incremental,Prototype,PhD,3061,26,9,29.8,Low
Online Event Management Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,3.61,4,10,8778757,1.0,6,EdTech,Disruptive,Idea,PG,3140,73,5,20.86,Low
AI-Powered Fraud Detection System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,6,1.43,10,4,8164410,17.97,10,AgriTech,Incremental,Prototype,UG,4318,25,8,32.29,Low
Digital Marketplace for Local Businesses,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,3.73,10,10,9795223,3.96,1,EdTech,Disruptive,MVP,PhD,2124,21,8,31.21,Low
E-Learning Personalization Engine,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",2,1.02,8,10,326575,1.74,7,AI,Incremental,Prototype,PhD,2039,53,1,9.81,Low
Digital Marketplace for Local Businesses,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,1.45,3,3,149244,12.63,4,EdTech,Incremental,Idea,PG,2418,67,7,26.67,Low
Automated Financial Advisory System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,3.28,6,4,8728277,20.9,1,HealthTech,Disruptive,MVP,PG,28,81,5,23.8,Low
Smart Healthcare Monitoring Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,0.47,6,9,3793524,21.58,2,AgriTech,Disruptive,MVP,UG,4619,35,6,27.52,Low
AI-Based Crop Monitoring System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,6,4.42,5,10,562813,18.22,7,AgriTech,Disruptive,MVP,PG,2446,6,1,11.26,Low
Virtual Reality Learning Environment,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,4.23,6,3,4511461,18.35,6,E-commerce,Incremental,MVP,PhD,4859,9,2,12.55,Low
Cloud-Based Business Intelligence Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,3.08,4,8,9939273,7.1,3,HealthTech,Incremental,Prototype,UG,2122,8,1,8.18,Low
Virtual Reality Learning Environment,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,1.01,3,2,1659383,1.25,6,HealthTech,Disruptive,Prototype,UG,1165,7,10,31.89,Low
Personalized Nutrition Recommendation System,"An event management platform that automates planning, scheduling, and coordination of events.",5,0.61,1,3,7271468,18.59,10,FinTech,Disruptive,MVP,PG,203,25,9,32.42,Low
AI-Powered Fraud Detection System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,4.52,9,9,1760914,18.36,10,HealthTech,Disruptive,Prototype,UG,4752,60,10,40.27,Medium
AI-Powered Fraud Detection System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,1.09,8,3,4396262,15.71,2,FinTech,Incremental,MVP,UG,1345,60,3,16.64,Low
AI-Based Crop Monitoring System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,3.67,5,3,6197716,18.7,8,AgriTech,Incremental,Idea,PhD,2541,33,10,36.8,Low
IoT Smart Home Automation Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,4.47,10,8,4394679,18.75,6,AI,Disruptive,Prototype,PhD,4992,79,9,37.73,Low
Blockchain-Powered Digital Payments,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,0.87,7,5,1757844,19.83,5,AI,Incremental,MVP,PG,4749,29,8,32.15,Low
E-Learning Personalization Engine,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,2,1.63,4,3,7616436,10.5,5,AgriTech,Disruptive,Prototype,UG,1247,52,8,29.24,Low
AI-Based Crop Monitoring System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,3.14,1,7,9413024,4.04,7,AgriTech,Disruptive,Idea,PG,1210,3,6,21.27,Low
AI-Based Crop Monitoring System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,1.71,2,2,9248761,23.11,7,E-commerce,Incremental,Prototype,PhD,724,90,6,25.62,Low
Smart Traffic Management System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,0.68,4,5,9181342,17.28,3,EdTech,Disruptive,MVP,UG,4913,34,6,24.84,Low
Online Mental Health Support Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,0.87,5,6,9841876,12.28,3,FinTech,Incremental,Prototype,PG,1664,13,7,27.02,Low
Personalized Nutrition Recommendation System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,2.17,9,1,2971936,17.41,5,EdTech,Incremental,MVP,PG,2233,56,6,25.6,Low
E-Learning Personalization Engine,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,1.19,6,6,1117226,14.92,8,AI,Disruptive,Idea,PhD,4652,87,4,20.32,Low
AI Resume Screening Tool,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,2.54,3,4,8406717,24.04,1,E-commerce,Incremental,Idea,PhD,378,10,6,25.11,Low
Autonomous Delivery Drone System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,1.46,9,10,1810917,0.59,6,HealthTech,Disruptive,MVP,UG,958,58,7,27.98,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,4,0.87,6,4,1607506,5.33,2,HealthTech,Incremental,MVP,PhD,4250,51,10,35.09,Low
Automated Financial Advisory System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,2.86,9,4,5160606,19.66,8,FinTech,Disruptive,Idea,PG,112,1,7,28.85,Low
Smart Healthcare Monitoring Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,2.39,1,7,7947115,3.17,6,AgriTech,Disruptive,Prototype,UG,3038,15,7,24.33,Low
Online Event Management Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.59,1,7,9523877,23.29,5,AgriTech,Disruptive,MVP,UG,1561,91,8,32.88,Low
Online Mental Health Support Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,2.0,5,3,2076462,16.63,9,FinTech,Disruptive,MVP,PG,1120,33,10,36.39,Low
AI Chatbot for Customer Service,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,4.79,5,1,4372451,16.66,2,AgriTech,Incremental,Prototype,UG,497,80,4,18.73,Low
Smart Waste Management Solution,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,4.33,9,2,6768672,2.1,10,E-commerce,Incremental,MVP,PG,3389,19,1,7.1,Low
Blockchain-Powered Digital Payments,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,2.81,2,7,1116331,24.46,2,HealthTech,Incremental,Prototype,PG,2624,3,4,19.65,Low
